X,Y0,Y1,Y2
2011,11.71,0.34,1.88
2011,12.15,0.34,1.85
2011,12.33,0.34,1.87
2011,12.3,0.36,1.9
2011,12.71,0.36,1.9
2011,12.86,0.36,1.87
2011,12.8,0.36,1.9
2011,12.3,0.36,1.87
2011,12.06,0.34,1.83
2011,12.02,0.34,1.89
2011,12.25,0.35,1.93
2011,12.25,0.34,1.92
2011,12.13,0.34,1.89
2011,12.32,0.35,1.93
2011,12.24,0.36,2.0
2011,12.33,0.35,1.97
2011,12.04,0.33,1.93
2011,12.06,0.33,1.95
2011,12.15,0.34,2.17
2011,12.15,0.34,2.16
2011,12.05,0.34,2.13
2011,12.29,0.35,2.13
2011,12.08,0.34,2.1
2011,11.97,0.34,2.1
2011,11.71,0.35,2.3
2011,11.61,0.35,2.24
2011,11.73,0.34,2.29
2011,11.78,0.34,2.33
2011,11.59,0.33,2.33
2011,11.45,0.32,2.27
2011,11.2,0.34,2.16
2011,11.39,0.35,2.19
2011,11.32,0.34,2.14
2011,11.18,0.33,2.16
2011,11.35,0.35,2.22
2011,11.41,0.35,2.2
2011,11.52,0.36,2.2
2011,11.72,0.36,2.27
2011,11.86,0.37,2.25
2011,11.94,0.37,2.33
2011,11.89,0.36,2.33
2011,11.78,0.35,2.33
2011,11.92,0.35,2.11
2011,11.87,0.34,2.07
2011,11.87,0.34,2.04
2011,11.91,0.34,2.06
2011,11.67,0.32,1.98
2011,11.56,0.32,1.94
2011,11.57,0.32,1.93
2011,11.59,0.31,1.9
2011,11.93,0.32,1.9
2011,11.97,0.32,1.87
2011,12.02,0.33,1.87
2011,12.16,0.33,1.87
2011,12.32,0.33,1.92
2011,12.3,0.32,1.95
2011,12.22,0.32,1.96
2011,12.24,0.32,1.93
2012,12.43,0.33,1.97
2012,12.49,0.33,1.91
2012,12.61,0.34,1.86
2012,12.74,0.34,1.85
2012,12.89,0.34,1.83
2012,12.83,0.34,1.85
2012,12.74,0.33,1.89
2012,12.74,0.33,1.91
2012,12.67,0.32,1.9
2012,12.83,0.32,1.82
2012,12.94,0.32,1.79
2012,13.0,0.33,1.85
2012,12.88,0.33,1.8
2012,12.91,0.34,1.81
2012,12.81,0.34,1.85
2012,13.69,0.34,1.87
2012,13.52,0.35,1.97
2012,13.51,0.34,1.98
2012,13.67,0.34,1.97
2012,13.81,0.34,2.0
2012,13.83,0.35,1.98
2012,13.77,0.36,2.06
2012,13.86,0.37,2.09
2012,14.01,0.36,2.13
2012,14.15,0.36,2.12
2012,14.36,0.38,2.13
2012,14.97,0.38,2.19
2012,14.99,0.37,2.15
2012,15.18,0.38,2.14
2012,15.35,0.38,2.25
2012,15.86,0.39,2.29
2012,15.21,0.38,2.3
2012,15.3,0.38,2.33
2012,15.51,0.37,2.32
2012,15.53,0.37,2.31
2012,15.6,0.37,2.33
2012,15.75,0.37,2.3
2012,15.92,0.36,2.27
2012,16.13,0.36,2.3
2012,16.5,0.36,2.27
2012,16.52,0.35,2.3
2012,16.47,0.36,2.3
2012,16.49,0.35,2.29
2012,16.08,0.34,2.22
2012,16.2,0.34,2.22
2012,16.36,0.34,2.23
2012,16.5,0.34,2.35
2012,16.63,0.34,2.42
2012,17.12,0.34,2.44
2012,17.92,0.34,2.4
2012,18.08,0.34,2.37
2012,17.75,0.34,2.39
2012,18.13,0.34,2.35
2012,18.28,0.33,2.35
2012,18.37,0.33,2.35
2012,18.21,0.33,2.34
2012,18.13,0.33,2.31
2012,18.29,0.34,2.54
2012,18.57,0.34,2.66
2012,18.72,0.35,2.56
2012,18.57,0.35,2.55
2012,18.39,0.36,2.53
2012,18.64,0.36,2.53
2012,19.05,0.35,2.56
2012,18.86,0.34,2.37
2012,19.12,0.34,2.36
2012,19.28,0.33,2.29
2012,19.4,0.33,2.26
2012,19.19,0.34,2.22
2012,19.02,0.34,2.3
2012,18.82,0.34,2.27
2012,18.39,0.33,2.25
2012,18.38,0.33,2.2
2012,18.69,0.32,2.18
2012,18.22,0.33,2.23
2012,17.91,0.32,2.25
2012,17.37,0.3,2.2
2012,17.1,0.31,2.15
2012,18.62,0.3,2.2
2012,18.52,0.3,2.23
2012,18.26,0.3,2.24
2012,18.03,0.3,2.22
2012,17.98,0.31,2.28
2012,17.7,0.3,2.29
2012,17.82,0.3,2.27
2012,17.42,0.29,2.16
2012,17.26,0.29,2.17
2012,17.22,0.29,2.18
2012,17.29,0.29,2.05
2012,17.35,0.29,2.31
2012,17.31,0.31,2.23
2012,17.1,0.31,2.14
2012,16.97,0.31,2.06
2012,16.78,0.3,2.01
2012,16.49,0.3,1.99
2012,16.37,0.29,1.9
2012,16.92,0.28,1.95
2012,17.29,0.28,2.09
2012,17.26,0.29,2.07
2012,17.37,0.29,2.08
2012,17.05,0.29,2.03
2012,17.29,0.29,2.13
2012,17.47,0.29,2.09
2012,17.52,0.29,2.02
2012,17.25,0.28,1.94
2012,17.1,0.28,1.89
2012,17.07,0.28,1.89
2012,17.29,0.28,1.96
2012,17.39,0.29,1.99
